Final Position,Rider,Lap,Lap Time,T1,T2,T3,T4,Speed,Number,Position
1,Celestino VIETTI,1,125.704,32.16,30.77,29.19,33.58,176.40,13,1
1,Celestino VIETTI,2,119.234,26.03,30.60,29.23,33.38,285.70,13,1
1,Celestino VIETTI,3,119.209,25.99,30.49,29.21,33.52,286.40,13,1
1,Celestino VIETTI,4,119.201,26.04,30.52,29.18,33.46,285.70,13,1
1,Celestino VIETTI,5,119.119,26.04,30.57,29.20,33.31,286.40,13,1
1,Celestino VIETTI,6,119.053,25.97,30.58,29.07,33.43,285.70,13,1
1,Celestino VIETTI,7,119.335,25.99,30.57,29.26,33.51,284.90,13,1
1,Celestino VIETTI,8,119.318,26.04,30.70,29.17,33.41,284.90,13,1
1,Celestino VIETTI,9,119.315,26.05,30.68,29.17,33.41,285.70,13,1
1,Celestino VIETTI,10,119.628,26.08,30.62,29.12,33.81,284.20,13,1
1,Celestino VIETTI,11,119.531,26.19,30.67,29.18,33.50,284.90,13,1
1,Celestino VIETTI,12,119.100,25.99,30.62,29.11,33.38,285.70,13,1
1,Celestino VIETTI,13,119.103,26.04,30.55,29.17,33.34,285.70,13,1
1,Celestino VIETTI,14,119.323,26.02,30.63,29.21,33.46,285.70,13,1
1,Celestino VIETTI,15,119.351,26.03,30.68,29.25,33.40,284.90,13,1
1,Celestino VIETTI,16,119.351,26.10,30.67,29.21,33.37,285.70,13,1
1,Celestino VIETTI,17,119.387,26.10,30.66,29.14,33.48,284.20,13,1
1,Celestino VIETTI,18,119.367,26.07,30.61,29.30,33.38,285.70,13,1
1,Celestino VIETTI,19,119.625,26.13,30.79,29.24,33.47,284.90,13,1
1,Celestino VIETTI,20,120.383,26.12,30.97,29.40,33.89,286.40,13,1
2,Aron CANET,1,126.450,32.80,30.86,29.00,33.80,182.70,40,3
2,Aron CANET,2,119.175,25.92,30.81,29.04,33.40,286.40,40,2
2,Aron CANET,3,119.242,26.05,30.83,29.04,33.32,284.90,40,2
2,Aron CANET,4,119.506,25.99,31.00,29.14,33.38,285.70,40,2
2,Aron CANET,5,119.107,26.03,30.67,29.04,33.36,284.90,40,2
2,Aron CANET,6,119.244,25.94,30.73,29.07,33.51,285.70,40,2
2,Aron CANET,7,119.622,26.16,30.80,29.02,33.65,284.20,40,2
2,Aron CANET,8,119.626,26.08,30.80,29.18,33.57,284.20,40,2
2,Aron CANET,9,119.517,26.14,30.71,29.21,33.46,284.20,40,2
2,Aron CANET,10,119.304,26.07,30.68,29.13,33.43,284.20,40,2
2,Aron CANET,11,119.183,26.01,30.71,29.06,33.40,284.20,40,2
2,Aron CANET,12,119.493,26.07,30.80,29.16,33.46,284.90,40,2
2,Aron CANET,13,119.582,26.05,30.76,29.26,33.52,282.70,40,2
2,Aron CANET,14,119.441,26.02,30.80,29.21,33.41,284.20,40,2
2,Aron CANET,15,119.701,26.04,30.89,29.24,33.53,284.20,40,2
2,Aron CANET,16,119.709,26.11,30.82,29.19,33.60,284.20,40,2
2,Aron CANET,17,119.932,26.15,31.01,29.24,33.54,283.40,40,2
2,Aron CANET,18,119.943,26.16,30.90,29.32,33.57,284.20,40,2
2,Aron CANET,19,121.799,26.04,32.66,29.50,33.59,284.20,40,2
2,Aron CANET,20,120.215,26.20,31.06,29.33,33.62,284.20,40,2
3,Sam LOWES,1,127.349,33.13,31.49,29.25,33.48,175.60,22,8
3,Sam LOWES,2,119.665,26.07,30.98,29.12,33.50,291.10,22,7
3,Sam LOWES,3,119.334,26.05,30.92,28.95,33.41,289.50,22,6
3,Sam LOWES,4,119.062,26.00,30.68,28.95,33.45,288.70,22,6
3,Sam LOWES,5,119.398,26.01,30.90,29.09,33.40,287.20,22,6
