Final Position,Number,Grid,Rider,Lap,Lap Time,T1,T2,T3,T4,Speed,Position,Positions Change
1,23,2,Enea BASTIANINI,1,121.438,30.73,30.51,28.34,31.86,203.70,5,3
1,23,2,Enea BASTIANINI,2,114.953,25.06,30.27,28.35,31.27,350.60,5,0
1,23,2,Enea BASTIANINI,3,114.918,25.21,30.07,28.32,31.32,343.90,5,0
1,23,2,Enea BASTIANINI,4,114.991,25.09,30.09,28.38,31.43,336.40,5,0
1,23,2,Enea BASTIANINI,5,114.956,25.19,30.13,28.26,31.37,333.30,5,0
1,23,2,Enea BASTIANINI,6,114.680,25.12,30.09,28.21,31.26,338.50,4,-1
1,23,2,Enea BASTIANINI,7,114.633,25.05,29.99,28.33,31.27,355.20,3,-1
1,23,2,Enea BASTIANINI,8,114.940,25.17,30.13,28.30,31.34,349.50,3,0
1,23,2,Enea BASTIANINI,9,114.608,25.14,29.97,28.21,31.29,351.70,3,0
1,23,2,Enea BASTIANINI,10,114.744,25.09,30.03,28.29,31.33,350.60,3,0
1,23,2,Enea BASTIANINI,11,114.549,25.07,29.99,28.28,31.21,349.50,3,0
1,23,2,Enea BASTIANINI,12,114.720,24.96,30.04,28.41,31.32,349.50,3,0
1,23,2,Enea BASTIANINI,13,114.872,25.06,30.24,28.36,31.22,347.20,2,-1
1,23,2,Enea BASTIANINI,14,114.750,25.01,30.10,28.28,31.36,352.90,2,0
1,23,2,Enea BASTIANINI,15,114.641,24.94,29.99,28.36,31.35,350.60,2,0
1,23,2,Enea BASTIANINI,16,114.589,24.95,29.98,28.36,31.30,350.60,2,0
1,23,2,Enea BASTIANINI,17,114.338,24.93,29.91,28.27,31.24,350.60,2,0
1,23,2,Enea BASTIANINI,18,114.746,24.94,29.99,28.37,31.45,349.50,1,-1
1,23,2,Enea BASTIANINI,19,115.071,24.99,30.05,28.52,31.51,350.60,1,0
1,23,2,Enea BASTIANINI,20,115.065,24.98,30.01,28.65,31.43,349.50,1,0
1,23,2,Enea BASTIANINI,21,115.115,24.95,30.01,28.62,31.54,349.50,1,0
1,23,2,Enea BASTIANINI,22,115.881,25.14,30.18,28.77,31.80,349.50,1,0
2,33,7,Brad BINDER,1,121.021,30.61,30.39,28.34,31.69,215.50,3,-4
2,33,7,Brad BINDER,2,115.086,25.22,30.10,28.31,31.46,343.90,3,0
2,33,7,Brad BINDER,3,114.846,25.15,30.04,28.22,31.44,339.60,3,0
2,33,7,Brad BINDER,4,115.069,25.12,30.09,28.28,31.58,345.00,3,0
2,33,7,Brad BINDER,5,114.867,25.15,30.14,28.20,31.39,348.30,3,0
2,33,7,Brad BINDER,6,114.716,25.11,29.97,28.25,31.39,349.50,2,-1
2,33,7,Brad BINDER,7,114.893,25.11,30.03,28.25,31.51,345.00,2,0
2,33,7,Brad BINDER,8,114.738,25.06,30.05,28.26,31.36,343.90,2,0
2,33,7,Brad BINDER,9,114.484,25.02,29.86,28.29,31.32,343.90,2,0
2,33,7,Brad BINDER,10,114.792,25.07,30.01,28.34,31.37,342.80,2,0
2,33,7,Brad BINDER,11,114.681,24.98,30.03,28.31,31.36,342.80,2,0
2,33,7,Brad BINDER,12,114.835,24.98,30.10,28.42,31.34,343.90,2,0
2,33,7,Brad BINDER,13,114.982,25.09,30.14,28.43,31.33,342.80,3,1
2,33,7,Brad BINDER,14,114.936,25.16,30.14,28.27,31.36,343.90,3,0
2,33,7,Brad BINDER,15,114.930,25.05,30.20,28.20,31.48,348.30,3,0
2,33,7,Brad BINDER,16,115.121,24.96,30.33,28.45,31.38,347.20,3,0
2,33,7,Brad BINDER,17,114.729,24.86,30.15,28.36,31.36,345.00,3,0
2,33,7,Brad BINDER,18,114.820,24.93,30.17,28.35,31.36,343.90,3,0
2,33,7,Brad BINDER,19,114.924,25.05,30.09,28.39,31.40,343.90,2,-1
2,33,7,Brad BINDER,20,114.980,24.94,30.18,28.47,31.39,343.90,2,0
2,33,7,Brad BINDER,21,115.029,25.02,30.07,28.54,31.41,343.90,2,0
2,33,7,Brad BINDER,22,115.065,24.96,30.17,28.42,31.51,342.80,2,0
3,44,6,Pol ESPARGARO,1,120.669,30.44,30.05,28.59,31.60,216.00,1,-5
3,44,6,Pol ESPARGARO,2,115.181,25.29,29.83,28.48,31.58,343.90,1,0
3,44,6,Pol ESPARGARO,3,114.797,24.99,29.80,28.50,31.51,345.00,1,0
3,44,6,Pol ESPARGARO,4,115.076,25.07,29.94,28.52,31.56,345.00,1,0
3,44,6,Pol ESPARGARO,5,114.753,25.00,29.89,28.40,31.46,345.00,1,0
3,44,6,Pol ESPARGARO,6,114.768,24.99,29.86,28.46,31.47,345.00,1,0
3,44,6,Pol ESPARGARO,7,114.938,25.05,29.95,28.44,31.50,345.00,1,0
3,44,6,Pol ESPARGARO,8,114.683,24.96,29.85,28.41,31.47,345.00,1,0
3,44,6,Pol ESPARGARO,9,114.570,24.88,29.84,28.42,31.43,346.10,1,0
3,44,6,Pol ESPARGARO,10,114.726,24.87,29.87,28.44,31.54,346.10,1,0
3,44,6,Pol ESPARGARO,11,114.534,24.89,29.87,28.38,31.39,345.00,1,0
3,44,6,Pol ESPARGARO,12,114.734,24.95,29.87,28.41,31.50,346.10,1,0
3,44,6,Pol ESPARGARO,13,114.559,24.94,29.85,28.40,31.37,346.10,1,0
3,44,6,Pol ESPARGARO,14,114.657,24.89,29.83,28.42,31.52,346.10,1,0
3,44,6,Pol ESPARGARO,15,114.797,24.92,29.93,28.47,31.49,346.10,1,0
3,44,6,Pol ESPARGARO,16,114.842,25.02,29.93,28.44,31.45,343.90,1,0
3,44,6,Pol ESPARGARO,17,114.818,24.98,29.89,28.44,31.52,345.00,1,0
3,44,6,Pol ESPARGARO,18,114.987,24.93,30.00,28.50,31.56,343.90,2,1
3,44,6,Pol ESPARGARO,19,116.756,26.73,30.14,28.40,31.50,343.90,3,1
3,44,6,Pol ESPARGARO,20,115.134,25.10,30.07,28.44,31.53,346.10,3,0
3,44,6,Pol ESPARGARO,21,115.362,25.21,30.11,28.53,31.52,347.20,3,0
3,44,6,Pol ESPARGARO,22,115.208,25.02,30.08,28.43,31.68,347.20,3,0
4,41,5,Aleix ESPARGARO,1,121.559,30.86,30.73,28.45,31.52,208.40,6,1
4,41,5,Aleix ESPARGARO,2,115.237,25.11,30.24,28.48,31.41,328.20,6,0
4,41,5,Aleix ESPARGARO,3,114.797,25.08,30.12,28.21,31.38,347.20,6,0
4,41,5,Aleix ESPARGARO,4,115.000,25.02,30.09,28.34,31.55,343.90,6,0
4,41,5,Aleix ESPARGARO,5,114.944,25.11,30.16,28.30,31.38,345.00,6,0
4,41,5,Aleix ESPARGARO,6,114.915,25.02,30.31,28.25,31.34,341.70,6,0
4,41,5,Aleix ESPARGARO,7,114.878,25.10,30.16,28.24,31.38,343.90,5,-1
4,41,5,Aleix ESPARGARO,8,115.086,25.24,30.34,28.28,31.23,346.10,5,0
4,41,5,Aleix ESPARGARO,9,114.465,24.95,30.06,28.14,31.32,354.00,5,0
4,41,5,Aleix ESPARGARO,10,115.091,25.51,30.03,28.29,31.26,354.00,5,0
4,41,5,Aleix ESPARGARO,11,114.530,24.92,30.04,28.18,31.40,350.60,5,0
4,41,5,Aleix ESPARGARO,12,114.552,24.96,30.02,28.27,31.30,352.90,5,0
4,41,5,Aleix ESPARGARO,13,114.687,24.97,30.07,28.33,31.32,351.70,5,0
