Lap,Lap Time,T1,T2,T3,Speed,T4,Final Position,Rider,Position
1,106.724,32.336,21.506,21.019,246.5,31.863,1,Miguel OLIVEIRA,1
2,102.807,28.593,21.477,21.262,282.7,31.475,1,Miguel OLIVEIRA,2
3,101.174,28.359,20.971,20.683,286.4,31.161,1,Miguel OLIVEIRA,2
4,101.319,28.193,21.297,20.621,291.8,31.208,1,Miguel OLIVEIRA,2
5,100.804,28.133,21.122,20.572,288.0,30.977,1,Miguel OLIVEIRA,1
6,100.148,27.834,20.958,20.423,294.2,30.933,1,Miguel OLIVEIRA,1
7,100.318,27.887,21.002,20.513,295.0,30.916,1,Miguel OLIVEIRA,1
8,99.801,27.734,20.979,20.415,295.8,30.673,1,Miguel OLIVEIRA,1
9,99.557,27.632,20.778,20.410,295.8,30.737,1,Miguel OLIVEIRA,1
10,99.612,27.773,20.887,20.382,295.8,30.570,1,Miguel OLIVEIRA,1
11,99.229,27.557,20.788,20.288,295.8,30.596,1,Miguel OLIVEIRA,1
12,99.262,27.673,20.712,20.356,295.8,30.521,1,Miguel OLIVEIRA,1
13,99.543,27.634,20.875,20.389,296.7,30.645,1,Miguel OLIVEIRA,1
14,99.779,27.736,20.880,20.415,296.7,30.748,1,Miguel OLIVEIRA,1
15,99.447,27.602,20.696,20.486,296.7,30.663,1,Miguel OLIVEIRA,1
16,99.524,27.717,20.748,20.439,298.3,30.620,1,Miguel OLIVEIRA,1
17,99.858,27.735,20.883,20.390,297.5,30.850,1,Miguel OLIVEIRA,1
18,99.205,27.679,20.724,20.313,295.8,30.489,1,Miguel OLIVEIRA,1
19,99.366,27.571,20.837,20.319,298.3,30.639,1,Miguel OLIVEIRA,1
20,99.746,27.577,20.912,20.517,298.3,30.740,1,Miguel OLIVEIRA,1
1,106.753,31.974,21.246,21.342,239.4,32.191,2,Fabio QUARTARARO,2
2,103.309,29.265,21.199,21.116,277.6,31.729,2,Fabio QUARTARARO,3
3,102.749,28.801,21.235,20.933,286.4,31.780,2,Fabio QUARTARARO,3
4,102.514,28.978,21.158,20.866,284.9,31.512,2,Fabio QUARTARARO,5
5,101.648,28.475,21.079,20.852,283.4,31.242,2,Fabio QUARTARARO,5
6,101.082,28.254,21.096,20.741,288.7,30.991,2,Fabio QUARTARARO,5
7,100.184,27.998,20.617,20.735,292.6,30.834,2,Fabio QUARTARARO,5
8,100.105,27.960,20.641,20.613,293.4,30.891,2,Fabio QUARTARARO,5
9,99.948,27.971,20.783,20.447,291.1,30.747,2,Fabio QUARTARARO,5
10,99.577,27.862,20.591,20.606,293.4,30.518,2,Fabio QUARTARARO,5
11,99.542,27.695,20.837,20.443,295.0,30.567,2,Fabio QUARTARARO,5
12,99.307,27.763,20.502,20.393,293.4,30.649,2,Fabio QUARTARARO,5
13,99.803,28.227,20.640,20.429,295.0,30.507,2,Fabio QUARTARARO,4
14,99.026,27.680,20.428,20.426,295.0,30.492,2,Fabio QUARTARARO,4
15,99.021,27.625,20.419,20.414,295.8,30.563,2,Fabio QUARTARARO,3
16,99.049,27.746,20.453,20.406,295.8,30.444,2,Fabio QUARTARARO,2
17,98.749,27.609,20.374,20.339,294.2,30.427,2,Fabio QUARTARARO,2
18,98.962,27.637,20.385,20.420,296.7,30.520,2,Fabio QUARTARARO,2
19,99.047,27.747,20.310,20.478,295.8,30.512,2,Fabio QUARTARARO,2
20,99.053,27.665,20.462,20.423,295.0,30.503,2,Fabio QUARTARARO,2
1,108.521,33.389,21.693,21.271,231.7,32.168,3,Johann ZARCO,5
